产品名称;产品编码;规格型号;库位号;成本价;销售价;寄卖时间点;保留价;地区;收货人;客户;到库时间;结款日期;计量单位;上期结存(数量);本期收入(数量);本期发出(数量);本期结存(数量)
卡地亚 ;W085 ;无 ;4;5500; ; ; ;上海 ;韦达 ; ;（是）2017/01/19 ; ;个 ;1;0;0;1
卡地亚 ;W087 ;无 ;4;6000; ; ; ;上海 ;韦达 ; ;42754; ;个 ;1;0;0;1
GUcci ;W088 ;无 ;4;900; ; ; ;上海 ;韦达 ; ;42754; ;个 ;1;0;0;1
浪琴粉色 ;W090 ;L6192 ;4;10500; ; ; ;上海 ;韦达 ; ;42754; ;个 ;1;0;0;1
JC ;W091 ;1204803;4;2300;3500; ; ;上海 ;韦达 ; ;（是）2017/01/19 ; ;个 ;1;0;0;1
卡地亚 ;W092 ;590002;4;3000; ; ; ;上海 ;韦达 ; ;42754; ;个 ;1;0;0;1
浪琴 棕色 ;W093 ;L6192 ;4;6100; ; ; ;上海 ;韦达 ; ;（是）2017/01/19 ; ;个 ;1;0;0;1
欧米茄 ;W094 ;1365;4;2200; ; ; ;上海 ;韦达 ; ;42754; ;个 ;1;0;0;1
欧米茄 ;W096 ;无 ;4;7500; ; ; ;上海 ;韦达 ; ;42754; ;个 ;1;0;0;1
卡地亚 ;W097 ;8191324346;4;4000; ; ; ;上海 ;韦达 ; ;42754; ;个 ;1;0;0;1
肖邦 ;W099 ;L595.2 ;4;7000; ; ; ;上海 ;韦达 ; ;42754; ;个 ;1;0;0;1
万国 ;W100 ;无 ;暂放公司 ;20000; ; ; ;上海 ;韦达 ; ;42754; ;个 ;1;0;0;1
欧米茄 ;W102 ;无 ;暂放公司 ;1900;3601; ; ;上海 ;韦达 ; ;42754;42802;个 ;1;0;0;1
欧米茄 ;W103 ;无 ; ;3800; ; ; ;上海 ;韦达 ; ;（是）2017/2/5 ; ;个 ;1;0;0;1
泰格豪雅 ;W104 ;无 ; ;4000; ; ; ;上海 ;韦达 ; ;（是）2017/2/5 ; ;个 ;1;0;0;1
欧米茄 ;W107 ;无 ; ;800;1501; ; ;上海 ;韦达 ; ;（是）2017/2/5 ; ;个 ;1;0;0;1
欧米茄 ;W109 ;56365842; ;10000; ; ; ;上海 ;韦达 ; ;（是）2017/2/5 ; ;个 ;1;0;0;1
SEIKO ;W112 ;240582; ;500;800; ; ;上海 ;韦达 ; ;（是） ; ;个 ;1;0;0;1
卡地亚 ;W114 ;163877; ;2600;3200; ; ;上海 ;韦达 ; ;（是） ; ;个 ;1;0;0;1
宝格丽 ;W115 ;100103678; ;2600;3200; ; ;上海 ;韦达 ; ;（是） ; ;个 ;1;0;0;1
宝格丽 ;W118 ;176850; ;3500;4200; ; ;上海 ;韦达 ; ;（是） ; ;个 ;1;0;0;1
卡地亚 ;W121 ;18033909; ;2200;2800; ; ;上海 ;韦达 ; ;（是） ; ;个 ;1;0;0;1
欧米茄 ;W122 ;无 ; ;3200; ; ; ;上海 ;韦达 ; ;42790; ;个 ;1;0;0;1
欧米茄 ;W124 ;无 ; ;2700; ; ; ;上海 ;韦达 ; ;42790; ;个 ;1;0;0;1
欧米茄 ;W125 ;无 ; ;2600; ; ; ;上海 ;韦达 ; ;42790; ;个 ;1;0;0;1
欧米茄 ;W127 ;无 ; ;2600; ; ; ;上海 ;韦达 ; ;42790; ;个 ;1;0;0;1
欧米茄 ;W129 ;53479185; ;2700; ; ; ;上海 ;韦达 ; ;42790; ;个 ;1;0;0;1
欧米茄 ;W130 ;无 ; ;2800; ; ; ;上海 ;韦达 ; ;42790; ;个 ;1;0;0;1
欧米茄 ;W132 ;无 ; ;2800; ; ; ;上海 ;韦达 ; ;42790; ;个 ;1;0;0;1
欧米茄 ;W133 ;2039; ;2600; ; ; ;上海 ;韦达 ; ;2600; ;个 ;1;0;0;1
卡地亚 ;W004 ;769835QX3170 ; ;7000; ; ; ;上海 ;韦达 ; ;42752; ;个 ;1;0;0;1
欧米茄 ;W060 ;1330/326 ; ;4000; ; ; ;上海 ;韦达 ; ;42752; ;个 ;1;0;0;1
二问怀表 ;W140 ;无 ; ;25000; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
卡地亚 ;W141 ;无 ; ;29000; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
卡地亚 ;W142 ;无 ; ;5000; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
卡地亚 ;W143 ;无 ; ;6000; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
劳力士 ;W145 ;无 ; ;10800; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
欧米茄 ;W146 ;无 ; ;4000; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
欧米茄 ;W147 ;无 ; ;8000; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
卡地亚 ;W148 ;无 ; ;14500; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
欧米茄 ;W149 ;无 ; ;10000; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
宝格丽 ;W150 ;无 ; ;3500; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
卡斯托斯 ;W151 ;无 ; ;65000; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
伯爵 ;W152 ;无 ; ;35000; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
GAGA ;W153 ;无 ; ;1800; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
欧米茄 ;W154 ;无 ; ;3800; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
宝格丽 ;W156 ;无 ; ;5000; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
卡地亚 ;W157 ;无 ; ;5500; ; ; ;上海 ;韦达 ;韦达 ; ; ;个 ;1;0;0;1
欧米茄手表 ;W161 ; ; ;1900; ; ; ;上海 ; ;韦达 ;42801; ;个 ;1;0;0;1
浪琴手表 ;w162 ; ; ;800; ; ; ;上海 ; ;韦达 ;42801; ;个 ;1;0;0;1
宝格丽手表 ;W163 ; ; ;5800; ; ; ;上海 ; ;韦达 ;42801; ;个 ;1;0;0;1
萧邦手表 ;W164 ; ; ;5000; ; ; ;上海 ; ;韦达 ;42801; ;个 ;1;0;0;1
浪琴手表 ;W165 ; ; ;800; ; ; ;上海 ; ;韦达 ;42801; ;个 ;1;0;0;1
浪琴手表 ;W166 ; ; ;800; ; ; ;上海 ; ;韦达 ;42801; ;个 ;1;0;0;1
浪琴手表 ;W167 ; ; ;2000; ; ; ;上海 ; ;韦达 ;42801; ;个 ;1;0;0;1
欧米茄手表 ;W168 ; ; ;1500; ; ; ;上海 ; ;韦达 ;42801; ;个 ;1;0;0;1
浪琴手表 ;W169 ; ; ;800; ; ; ;上海 ; ;韦达 ;42801; ;个 ;1;0;0;1
欧米茄手表 ;W170 ; ; ;2500; ; ; ;上海 ; ;韦达 ;42801; ;个 ;1;0;0;1
